,Posemo,Negemo,Work,Date,Status_id,length_messages
237,,,,2016-03-26 15:51:13,261858613983318_561583804010796,10
238,,,,2016-03-26 15:51:03,261858613983318_561583610677482,21
239,,,2.0,2016-03-26 15:50:54,261858613983318_561583587344151,4
240,5.0,14.0,,2016-03-26 15:50:43,261858613983318_561583534010823,206
241,,,,2016-03-26 15:50:03,261858613983318_561583407344169,13
242,5.0,3.0,4.0,2016-03-26 15:49:46,261858613983318_561583330677510,113
243,,,,2016-03-26 15:49:33,261858613983318_561582994010877,12
244,1.0,,,2016-03-26 15:49:21,261858613983318_561582434010933,18
245,2.0,1.0,2.0,2016-03-26 15:49:12,261858613983318_561582017344308,52
246,4.0,3.0,5.0,2016-03-26 15:49:03,261858613983318_561581910677652,104
247,,,,2016-03-26 15:48:50,261858613983318_561581884010988,10
248,1.0,,,2016-03-26 15:48:41,261858613983318_561579607344549,6
249,1.0,2.0,4.0,2016-03-26 15:48:31,261858613983318_561579597344550,122
250,,4.0,3.0,2016-03-24 22:20:50,261858613983318_560495870786256,89
251,3.0,,,2016-03-24 22:20:17,261858613983318_560495807452929,48
252,5.0,2.0,5.0,2016-03-24 22:19:48,261858613983318_560495704119606,69
253,1.0,1.0,,2016-03-24 22:18:58,261858613983318_560494580786385,45
254,3.0,,10.0,2016-03-24 22:18:37,261858613983318_560494487453061,89
255,1.0,1.0,1.0,2016-03-24 22:17:21,261858613983318_560494297453080,18
256,,1.0,4.0,2016-03-24 22:17:08,261858613983318_560494280786415,68
257,1.0,,,2016-03-24 22:16:39,261858613983318_560494210786422,8
258,4.0,,,2016-03-24 22:16:25,261858613983318_560494160786427,29
259,2.0,1.0,,2016-03-24 22:16:13,261858613983318_560494084119768,35
260,7.0,3.0,4.0,2016-03-24 22:15:56,261858613983318_560494044119772,120
261,4.0,5.0,3.0,2016-03-24 22:15:17,261858613983318_560493937453116,107
262,9.0,11.0,,2016-03-24 22:14:35,261858613983318_560493794119797,153
263,2.0,,,2016-03-24 22:14:02,261858613983318_560493544119822,20
264,2.0,4.0,2.0,2016-03-24 22:13:46,261858613983318_560493470786496,94
265,5.0,2.0,3.0,2016-03-24 22:13:23,261858613983318_560493410786502,111
266,3.0,,,2016-03-24 12:23:49,261858613983318_560123300823513,42
267,3.0,1.0,2.0,2016-03-24 12:23:26,261858613983318_560123254156851,47
268,1.0,4.0,,2016-03-24 12:16:35,261858613983318_560117820824061,57
269,5.0,2.0,,2016-03-24 12:16:12,261858613983318_560117497490760,47
270,1.0,1.0,,2016-03-24 12:15:59,261858613983318_560117460824097,38
271,,3.0,3.0,2016-03-24 12:15:47,261858613983318_560117397490770,39
272,16.0,2.0,4.0,2016-03-24 12:15:26,261858613983318_560117304157446,185
273,4.0,,10.0,2016-03-24 12:14:28,261858613983318_560116867490823,105
274,,1.0,,2016-03-24 12:14:10,261858613983318_560116770824166,15
275,4.0,,,2016-03-24 12:14:01,261858613983318_560116740824169,28
276,1.0,,1.0,2016-03-24 12:13:45,261858613983318_560116697490840,24
277,,,,2016-03-24 12:13:36,261858613983318_560116674157509,9
278,4.0,,1.0,2016-03-24 12:13:21,261858613983318_560116627490847,91
279,,1.0,1.0,2016-03-22 15:32:07,261858613983318_558973474271829,17
280,1.0,,,2016-03-22 15:31:55,261858613983318_558973380938505,14
